"Date and Time Run 1","Time (s) Run 1","Force Beam 1 (N) Run 1","Force Beam 2 (N) Run 1","Force Beam 3 (N) Run 1","Force Beam 4 (N) Run 1","Vertical Force (N) Run 1","Date and Time Run 2","Time (s) Run 2","Force Beam 1 (N) Run 2","Force Beam 2 (N) Run 2","Force Beam 3 (N) Run 2","Force Beam 4 (N) Run 2","Vertical Force (N) Run 2"
11/01/2022 08:48:37 am,1.010,49.55,61.11,-4.78,30.00,135.87,11/01/2022 08:50:52 am,1.010,-4.20,14.33,1.33,30.58,42.04
11/01/2022 08:48:37 am,1.015,49.93,60.28,-4.66,29.36,134.92,11/01/2022 08:50:52 am,1.015,-4.05,18.01,1.25,38.62,53.83
11/01/2022 08:48:37 am,1.020,50.03,59.85,-4.78,28.98,134.08,11/01/2022 08:50:52 am,1.020,-4.13,19.69,0.95,41.54,58.05
11/01/2022 08:48:37 am,1.025,49.98,58.95,-4.76,28.30,132.47,11/01/2022 08:50:52 am,1.025,-4.18,22.19,0.42,45.29,63.72
11/01/2022 08:48:37 am,1.030,50.45,58.25,-4.83,27.28,131.16,11/01/2022 08:50:52 am,1.030,-4.05,28.30,-0.42,48.41,72.24
11/01/2022 08:48:37 am,1.035,50.93,57.78,-4.86,26.88,130.73,11/01/2022 08:50:52 am,1.035,-2.80,42.44,-3.82,51.66,87.47
11/01/2022 08:48:37 am,1.040,50.90,56.78,-4.81,26.55,129.42,11/01/2022 08:50:52 am,1.040,-3.93,59.83,-5.72,70.55,120.74
11/01/2022 08:48:37 am,1.045,51.35,56.70,-4.71,26.27,129.62,11/01/2022 08:50:52 am,1.045,115.75,71.17,-6.53,88.86,269.26
11/01/2022 08:48:37 am,1.050,51.75,56.48,-4.78,25.79,129.24,11/01/2022 08:50:52 am,1.050,33.55,28.32,-0.80,23.38,84.46
11/01/2022 08:48:37 am,1.055,51.98,56.23,-4.73,25.61,129.09,11/01/2022 08:50:52 am,1.055,61.57,85.33,-6.73,74.79,214.97
11/01/2022 08:48:37 am,1.060,52.33,56.40,-4.76,25.61,129.59,11/01/2022 08:50:52 am,1.060,23.56,111.25,-5.62,96.37,225.58
11/01/2022 08:48:37 am,1.065,52.45,56.73,-4.86,25.43,129.76,11/01/2022 08:50:52 am,1.065,43.12,85.48,-3.82,68.07,192.85
11/01/2022 08:48:37 am,1.070,52.81,56.83,-4.93,25.48,130.18,11/01/2022 08:50:52 am,1.070,42.41,111.15,-4.05,88.63,238.16
11/01/2022 08:48:37 am,1.075,53.06,57.03,-4.68,25.56,130.96,11/01/2022 08:50:52 am,1.075,34.83,123.17,-5.67,100.00,252.34
11/01/2022 08:48:37 am,1.080,53.56,57.05,-4.88,25.61,131.34,11/01/2022 08:50:52 am,1.080,33.33,93.14,-4.23,82.83,205.07
11/01/2022 08:48:37 am,1.085,53.98,57.18,-4.73,25.53,131.96,11/01/2022 08:50:52 am,1.085,21.94,78.67,-4.56,75.34,171.40
11/01/2022 08:48:37 am,1.090,53.98,56.90,-4.68,25.28,131.49,11/01/2022 08:50:52 am,1.090,1.86,73.27,-4.71,76.28,146.71
11/01/2022 08:48:37 am,1.095,54.06,57.13,-4.73,25.10,131.56,11/01/2022 08:50:52 am,1.095,-2.25,65.66,-4.68,76.33,135.07
11/01/2022 08:48:37 am,1.100,54.21,56.88,-4.71,24.82,131.20,11/01/2022 08:50:52 am,1.100,-4.18,64.06,-4.15,78.39,134.12
11/01/2022 08:48:37 am,1.105,54.31,56.93,-4.78,24.80,131.25,11/01/2022 08:50:52 am,1.105,-4.83,63.36,-2.64,79.78,135.68
11/01/2022 08:48:37 am,1.110,53.76,56.55,-4.73,24.44,130.02,11/01/2022 08:50:52 am,1.110,-4.68,62.31,4.20,78.39,140.23
11/01/2022 08:48:37 am,1.115,53.06,55.83,-4.88,24.14,128.14,11/01/2022 08:50:52 am,1.115,-2.35,54.02,22.93,66.80,141.41
